Basic cases;;;;;;
;;;;;;
B-LOC;O;O;B-PER;O;;
Manchesterben;nem;játszott;Ronaldo;.;;
Barcelonában;;;Messi;;;
Hamburgban;;;Neymar;;;
Münchenben;;;Xavi;;;
Madridban;;;Beckham;;;
Kölnben;;;Dzsudzsák;;;
Debrecenben;;;Szalai;;;
;;;;;;
;;;;;;
O;B-ORG;O;O;B-PER;O;
A;Manchesterben;nem;játszott;Ronaldo;.;
;Barcelonában;;;Messi;;
;Hamburgban;;;Neymar;;
;Münchenben;;;Xavi;;
;Madridban;;;Beckham;;
;Kölnben;;;Dzsudzsák;;
;Debrecenben;;;Szalai;;
;;;;;;
B-PER;O;O;O;O;O;
Forddal;nem;járt;a;szépségkirálynő;.;
Lincolnnal;;;;;;
Teslával;;;;;;
Austinnal;;;;;;
Morrisszal;;;;;;
;;;;;;
O;O;B-MISC;O;O;O;O
Nem;egy;Forddal;járt;a;szépségkirálynő;.
;;Lincolnnal;;;;
;;Teslával;;;;
;;Austinnal;;;;
;;Morrisszal;;;;
;;;;;;
O;O;B-MISC;O;O;O;O
Nem;a;Forddal;járt;a;szépségkirálynő;.
;;Lincolnnal;;;;
;;Teslával;;;;
;;Morrisszal;;;;
;;;;;;
O;O;B-MISC;O;O;O;O
Nem;az;Austinnal;járt;a;szépségkirálynő;.
;;;;;;
O;B-PER;O;O;O;O;
Nem;Fordnál;járt;a;szépségkirálynő;.;
;Lincolnnál;;;;;
;Teslánál;;;;;
;Austinnál;;;;;
;Morrisnál;;;;;
;;;;;;
O;B-ORG;O;O;O;O;O
A;Fordnál;nem;járt;a;szépségkirálynő;.
;Lincolnnál;;;;;
;Teslánál;;;;;
;Morrisnál;;;;;
;;;;;;
O;B-ORG;O;O;O;O;O
Az;Austinnál;nem;járt;a;szépségkirálynő;.
;;;;;;
;;;;;;
O;O;O;B-PER;O;O;
Nem;törte;össze;Ford;autóját;.;
;;;Lincoln;;;
;;;Tesla;;;
;;;Austin;;;
;;;Morris;;;
;;;;;;
O;O;O;O;B-MISC;O;O
Nem;törte;össze;a;Ford;autóját;.
;;;;Lincoln;;
;;;;Tesla;;
;;;;Morris;;
;;;;;;
O;O;O;O;B-MISC;O;O
Nem;törte;össze;az;Austin;autóját;.
